Location,Date,Pork Skins Large,PS Total FG LBS,PS Seasoning Used,PS Actual FG LBS,PS Fried Lbs,PS Waste Lbs,PS Overweight reported,PS % Waste,PS Yield,% Bellies Used,ST Fried Lbs,ST Finished Goods Lbs,Mix Fix lbs Produced,Cheese Curls lbs Used,% Cheese Product,ST Waste Lbs,ST % Waste,ST Yield,CR Fried Lbs,CR Finished Goods Lbs,CR Waste Lbs,CR % Waste,CR Yield,TR Fried Lbs,TR Finished Goods Lbs,TR Waste Lbs,TR % Waste,TR Yield,BL Fried Lbs,BL Finished Goods Lbs,BL Waste Lbs,BL % Waste,BL Yield,RTE CR Fried Lbs,RTE CR Finished Goods Lbs,RTE CR Waste Lbs,RTE CR % Waste,RTE CR Yield,CR TT Fried Lbs,CR TT Finished Goods Lbs,Cheese Curls lbs Used1,CR TT Waste Lbs,CR TT % Waste,CR TT Yield,TT Fried Lbs Total,TT Finished Goods Lbs Total,Finished Goods CASES Total,TT Bags Produced,Daily Changeovers,MH Trainings,MH Direct for Clips/Displays,MH Direct for Bulk,H Prod Hrs Used For Maint,MH Direct Labor,MH Indirect Labor,Productivity,PRd Fried Direct Labor lbs/hr,Prd Fried Indirect Labor lbs/hr,Prd FG Direct Labor lbs/hr,Prd FG Indirect Labor lbs/hr,Prd Bags/hr Direct Labor,Prd Bags/hr Indirect Labor,WeekC,Incidents (blank or # of recordable incidents that day),Days safe (No need to type anything),IFR (No need to type anything),"Training compliance (fill #actual / #plan %, monthly)",Comments Safety,Comments on intiatives,NR's (weekly),Complaints (weekly),"Holds (weekly, number)",Comments on Quality,OTIF,Cases cut,Outages,Comments on Service,Comments on Lbs & Yields,Comments on productivity,Comments on pellets Lbs & Yields
CAL,26-Jun-18,,0,,0,,,,#DIV/0!,#DIV/0!,,6040,5661,,,,56,0.99%,93.73%,6040,5661,1286,0.99%,93.73%,,,,,,,,,,,,,,,,6040,5661,0,56,0.99%,93.73%,6040,5661,1286,18235,6,,32.5,,,88.75,53,,68.06,113.962264150943,63.79,106.811320754717,205.46,344.056603773585,24-Jun-18,,76,,,,,,,,,,,,,,,
CAL,25-Jun-18,,0,,0,,,,#DIV/0!,#DIV/0!,,2600,2321,,,,22,0.95%,89.27%,2600,2321,884,0.95%,89.27%,,,,,,,,,,,,,,,,2600,2321,0,22,0.95%,89.27%,2600,2321,884,21216,2,,24,,,79,57.75,,32.91,45.021645021645,29.38,40.1904761904762,268.56,367.376623376623,24-Jun-18,,75,,,,,,,,,,,,,,,
CAL,24-Jun-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,24-Jun-18,,74,,,No incidents last week.,No comments this week,,,,We held a meeting with USDA supervisor and USDA Inspector for 2nd shift.,,,,No incidents last week.,"Good skin yields driven by good pellets, acceptable yields on cracklins and curls.",We had some electrical issues with the packaging machine losing around 6-7 production hours during the week. Issue fixed on Friday afternoon.,
CAL,23-Jun-18,,5038,,5038,3394,84,,1.67%,148.44%,93.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3394,5038,2113,16904,3,,,,,41,51,% OT,82.78,66.5490196078431,122.88,98.7843137254902,412.29,331.450980392157,17-Jun-18,,73,,,,,,,,,,,,,,,
CAL,22-Jun-18,,0,,0,,,,#DIV/0!,#DIV/0!,,4520,4391,,,,39,0.89%,97.15%,4520,4391,1517,0.89%,97.15%,,,,,,,,,,,,,,,,4520,4391,0,39,0.89%,97.15%,4520,4391,1517,23252,6,,24,,,77,59,,58.70,76.6101694915254,57.03,74.4237288135593,301.97,394.101694915254,17-Jun-18,,72,,,,,,,,,,,,,,,
CAL,21-Jun-18,,7568,,7568,4926,17,,0.22%,153.63%,71.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,4926,7568,2893,21912,4,,,,,57,51,,86.42,96.5882352941177,132.77,148.392156862745,384.42,429.647058823529,17-Jun-18,,71,,,,,,,,,,,,,,,
CAL,01-May-18,,4943,,4943,3290,26,,0.53%,150.24%,100.00%,640,630,,,,5,0.79%,98.44%,640,630,63,0.79%,98.44%,,,,,,,,,,,,,,,,640,630,0,5,0.79%,98.44%,3930,5573,1713,21468,4,,,,,46,47.5,,85.43,82.7368421052632,121.15,117.326315789474,466.70,451.957894736842,29-Apr-18,,20,,,,,,,,,,,,,,,
CAL,30-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,3120,2817,,,,20,0.71%,90.29%,3400,3077,206,0.84%,90.50%,,,,,,,,,,,,,,,,3400,3077,0,26,0.84%,90.50%,3400,3077,206,28128,3,,,,,52.75,50,,64.45,68,58.33,61.54,533.23,562.56,29-Apr-18,,19,,,,,,,,,,,,,,,
CAL,29-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,29-Apr-18,,18,,,No incidents last week.,,,,,We have a schedule to give deep cleaning once a week to the packaging machine.,,,,"No issues last week, this week we will start again to run Walmart orders.","Good yields last week on skins, leading by less change overs and still using difficult product from COI that give us good yields. Cracklins we didn’t have good yields, leading by small size product and an issue with the oil mister and the fryer on Friday.","Acceptable productivity number, we are still working in have less change overs to increase productivity.",
CAL,28-Apr-18,,4455,,4455,3117,24,,0.54%,142.93%,43.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3117,4455,2459,29508,4,,,,,54,46.5,% OT,57.72,67.0322580645161,82.50,95.8064516129032,546.44,634.58064516129,22-Apr-18,,17,,,,,,,,,,,,,,,
