Date,WeekC,Location,FB-S UR,FB-S CK,FB-S OB,FB-M UR,FB-M CK,FB-M OB,FB-Fz UR,FB-Fz CK,FB-Fz OB,BL-MS UR,BL-MS CK,BL-MS OB,CR-M UR,CR-M CK,CR-M OB,CR-H UR,CR-H CK,CR-H OB,ST-CR UR,ST-CR CK,ST-CR OB,ST-BL UR,ST-BL CK,ST-BL OB,CR-LG UR,CR-LG CK,CR-LG OB,Direct Labor,Temp Labor,Direct Overtime Pellet,Indirect Labor,Indirect Overtime Pellet,OT % Pellet
01-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
01-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
02-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,CHI,,,,,,,,,,162508,130332,39410,198137,151880,45730,19235,19230,6930,14674,4104,1295,,,,,,,288,160,,,,
03-Jan-17,01-Jan-17,MEX,22853.08019,0,0,6133.158252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,,7,,
03-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,CHI,148560,109472,37520,,,,,,,,36036,11060,179135,184943,55750,2092,2092,735,16427,16752,5425,15375,15372,4840,,,,290,116,,,,
04-Jan-17,01-Jan-17,MEX,24179.98743,23029.48014,7909.503422,21311.40217,30528.66601,9927.801905,12172.84206,8589.94889,2922.178743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,,7,,
04-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,CHI,,40257,14070,152425,137791,46130,,,,56944,,,135275,167470,52520,28204,20030,7035,,10075,3395,,,,11668,11660,3850,308,78,,,,
05-Jan-17,01-Jan-17,MEX,25675.39118,24102.34191,8082.012276,22016.53901,21950.40143,6691.469657,11850.75204,10140.87514,3971.010533,6239.860214,6239.860214,1439.043512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,,7,,
05-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,CHI,92131,90994,29400,,14697,4760,,,,119022,174423,53760,,8535,2710,26542,34810,12390,,,,,,,,,,293,36,,,,
06-Jan-17,01-Jan-17,MEX,40092.22622,33780.58468,11730.05096,29821.65528,15206.57285,4845.680028,0,5292.770069,2103.175044,6177.911348,6177.911348,1489.74899,0,0,0,0,0,0,0,0,0,0,0,0,3791.88792,3791.88792,1294.091982,31,8,,7,,
06-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,MEX,3046.925242,34934.13431,12500.55377,3805.115436,15402.11963,5219.357355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,7,,
07-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
08-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,CHI,,,,50782,7284,2800,,,,116636,116865,34370,192032,144845,43560,5924,2076,770,29047,16288,4970,,,,,,,273,72,,,,
09-Jan-17,08-Jan-17,MEX,15458.16021,0,0,21247.49123,9032.188842,3107.915114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
09-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,CHI,10360,10367,3850,138299,149147,53830,,,,17011,,,170708,187726,56550,9968,3848,1400,20534,27144,8785,,,,,,,290,88,,,,
10-Jan-17,08-Jan-17,MEX,9897.797489,25358.16228,8603.396865,0,12216.71332,3983.686902,3294.974236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
10-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,CHI,91278,91379,27860,,32792,11200,,,,148149,143892,44660,70822,53879,16340,24002,23856,8400,,6306,1925,,,,,,,298,56,,,,
11-Jan-17,08-Jan-17,MEX,46401.02384,8551.258406,2725.970589,9885.363624,9885.363624,3472.774097,27801.59313,31095.68553,11218.03586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
11-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,CHI,41126,41323,13720,22753,22742,7910,,,,51550,73634,21770,91255,139487,42670,32329,30435,11060,,,,,,,,,,294,38,,,,
12-Jan-17,08-Jan-17,MEX,31295.86194,69143.40074,22083.88911,41926.59609,0,0,0,0,0,3150.794311,3150.794311,565.476309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
12-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,CHI,74150,73964,25130,,,,,,,46444,45150,13440,39474,39171,11750,11704,23652,7805,14660,14656,4760,,,,,,,284,16,,,,
13-Jan-17,08-Jan-17,MEX,0,0,0,38959.44379,75013.02278,25319.11906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
13-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,MEX,21906.64039,21906.64039,6757.607237,5978.837232,11851.85434,4255.953273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,7,,
14-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
