type,sumc,sumo,y,fet,,
  STRIPS LONG,24000,7920,0.33,ST,,ST
BELLY-PALOMITAS,18354,5880,0.320366133,ST,,ST Bel
BELLY-STRIPS,22960,7520,0.327526132,ST,,ST Bel
CARACKIN,109571,35660,0.325451077,CR,,CR
CARCKING,364470,112890,0.309737427,CR,,CR
CRACKIN,"5,857,057",1818445,0.310470771,CR,,CR
CRACKIN-DINAN,26174,9160,0.349965615,CR,,CR Din
CRACKIN-TEN,108265,35370,0.326698379,CR,,CR Ten
CRACKIN-TENDER,434870,140910,0.32402787,CR,,CR Ten
CRACKIN DINAN,28859,10080,0.349284452,CR,,CR Din
CRACKIN DINAN ,33429,11270,0.33713243,CR,,CR Din
CRACKIN EXP,81318,29070,0.357485428,CR,,CR
CRACKIN TENDER,152614,47670,0.312356665,CR,,CR Ten
CRACKING,"4,650,885",1471310,0.316350544,CR,,CR
CRACKING-TEN,77538,24430,0.31507132,CR,,CR Ten
CRACKING ,"182,295",55890,0.306590965,CR,,CR
Crackling,243064,75900,0.312263437,CR,,CR
GOLDEN FLAKE,649921,212990,0.327716753,ST,,ST
H-B-CONTRY,275279,98900,0.359271866,Reg H,,ST Ham
H-B-SMALL,265359,93240,0.351373046,Reg H,,ST Ham
H-B-STRIPS,101131,31680,0.313257063,ST,,ST Ham
H-B CONTRY,486803,171930,0.353181883,ST,,ST Ham
H-B CONTRY ,35450,13160,0.37122708,ST,,ST Ham
HAM- CONTRY,81106,28700,0.353857914,Reg H,,ST Ham
HAM-SMALL,767913,254250,0.331092194,Reg H,,ST Ham
Ham Strips ,147978,50560,0.341672411,ST,,ST Ham
M-5-B,26845693,8326641,0.310166737,M5B,,M5B
M-6,5663510,1797420,0.317368558,FB,,M-6
M-7,11532010,3674890,0.318668645,FB,,M-7
M-8-GF,587066,185630,0.316199541,FB,,M-8 GF
M-8 GF,121665,41230,0.338881355,FB,,M-8 GF
M-E,23322,8400,0.360174942,FB,,M-7
MED-7,211013,71320,0.337988655,FB,,M-7
S-2,2351227,735398,0.312772012,Sma,,S-2
S-2-EXP,107628,32270,0.299829041,Sma,,S-2
S-2-GAYTAN,491277,145390,0.295943022,Sma,,S-2 Gay
S-2 GAYTAN,107628,32270,0.299829041,Sma,,S-2 Gay
S-3,2136765,677260,0.316955772,Sma,,S-3
SANCOCHO,11282,2320,0.205637298,San,,San
SANCOCHO-BELLY,12186,4503,0.369522403,San,,San
SHORT-STRIPS,47535,14640,0.307983591,ST,,ST
SMALL-HAM,2920077,1004400,0.343963532,Sma,,S Ham
SMALL HAM,173364,57720,0.332941095,Sma,,S Ham
Str. Long / Short & 1x9,255292,73440,0.287670589,ST,,ST
STRIP-SHORT,49960,16320,0.326661329,ST,,ST
STRIPS-1-X9,22000,7720,0.350909091,ST,,ST 1x9
STRIPS-1X-9,20357,6040,0.296703837,ST,,ST 1x9
STRIPS-1X3,4109,1400,0.340715503,ST,,ST 1x3
STRIPS-1X9,6516666,2199510,0.337520751,ST,,ST 1x9
STRIPS-3/4,2150,720,0.334883721,ST,,ST 3/4
STRIPS-9X1,3955,1320,0.333754741,ST,,ST 1x9
STRIPS-BELLY,272108,93920,0.34515707,ST,,ST Bel
STRIPS-EXP,168618,50320,0.298426028,ST,,ST
STRIPS-HAM,1590950,530000,0.333134291,ST,,ST Ham
STRIPS-LONG,1199434,375360,0.312947607,ST,,ST
STRIPS-SHORT,4435370,1323615,0.29842268,ST,,ST
STRIPS-SHOT,58336,18040,0.309243006,ST,,ST
STRIPS -EXP,11975,3720,0.310647182,ST,,ST
STRIPS 1X9,42000,15480,0.368571429,ST,,ST 1x9
STRIPS ABF,10991,3280,0.298425985,ST,,ST ABF
STRIPS1X9,22000,6960,0.316363636,ST,,ST 1x9
STRIS-1X9,28000,9120,0.325714286,ST,,ST 1x9
CRACKLIN,,,,CR,,CR
H -B-STRIPS,,,,ST,,ST Ham
M-5-B-FRIZADO,,,,M5B,,M5B Fz
M-5-B-FROZEN,,,,M5B,,M5B Fz
M-5-BELLY,,,,M5B,,M5B
M-5-FRIZADO,,,,M5B,,M5B Fz
M-5-FROZEN,,,,M5B,,M5B Fz
M-5-HAM,,,,Reg H,,M5 Ham
M-5 HAM,,,,Reg H,,M5 Ham
M-7-FROZEN,,,,FB,,M-7 Fz
M5B FROZEN,,,,M5B,,M5B Fz
S-2-PLATE,,,,Sma,,S-2 Pla
SCRACKIN,,,,CR,,CR
SHOULDER-STRIPS,,,,ST,,ST
STRIPS,,,,ST,,ST
STRIPS-3X1,,,,ST,,ST 1x3
STRIPS-5X1,,,,ST,,ST 1x5
STRIPS-SHOULDER,,,,ST,,ST
STRIPS 5X1,,,,ST,,ST 1x5
STRIPS.,,,,ST,,ST
STRPS-SHOULDER,,,,ST,,ST
B-5-B,,,,M5B,,
S-4-B,,,,Sma,,
HAM-REG,,,,Reg H,,
LIGERO,,,,CR,,
Gaytan 1x9,,,,ST,,
TENDER,,,,CR,,
H-B-REG,,,,Reg H,,
HANBONIG,,,,Reg H,,
ABF-1X1,,,,FB,,
CRACCKING,,,,CR,,
CRACK-TENDER,,,,CR,,
CRACK-DINAND,,,,CR,,
